id,canonical_name,matrix_group,freedesktop_context,rationale
W3-279,media-playlist-repeat,Actions/UI,Status,Design-bucket exception: repeat is used as an application media control; Breeze exposes the same canonical name in both Actions and Status while Freedesktop standardizes it as Status.
W3-280,media-playlist-shuffle,Actions/UI,Status,Design-bucket exception: shuffle is used as an application media control; Breeze exposes the same canonical name in both Actions and Status while Freedesktop standardizes it as Status.
W3-289,camera-photo,Actions/UI,Devices,Design-bucket exception: used as a capture control in application UI; install/export under the Freedesktop Devices context.
W3-290,camera-video,Actions/UI,Devices,Design-bucket exception: used as a video-capture control in application UI; install/export under the Freedesktop Devices context.
W3-300,folder-open,Actions/UI,Status,Design-bucket exception: used as an open-folder UI control; Breeze also exposes folder-open in Places and Status while Freedesktop standardizes the name as Status.
W3-368,computer,Places/Folders,Devices,Design-bucket exception: presented as a location entry in file-manager/navigation UI; install/export under the Freedesktop Devices context.
W3-396,network-wired,Status/Panel/Waybar,Devices,Design-bucket exception: used as panel/network status artwork; Breeze provides network-wired in both Devices and Status while Freedesktop standardizes it as Devices.
W3-643,system-software-install,Categories/Misc,Applications,Design-bucket exception: generic system/software utility artwork grouped under Misc; install/export under the Freedesktop Applications context.
W3-644,system-software-update,Categories/Misc,Applications,Design-bucket exception: generic system/software utility artwork grouped under Misc; Breeze also provides a Status variant while Freedesktop standardizes the name as Applications.
W3-645,system-shutdown,Categories/Misc,Actions,Design-bucket exception: generic system control artwork grouped under Misc; install/export under the Freedesktop Actions context.
